# Archivo de datos de entrenamiento para el sistema de clasificadores
# Formato: entrada | salida
# Las entrada y salida deben separarse por |
# Los valores dentro de cada vector se separan por comas

# Ejemplo 1: Iris Dataset simplificado (clasificación de iris)
# 4 características de entrada | 1 salida (clase: 0=setosa, 1=versicolor, 2=virginica)
5.1,3.5,1.4,0.2 | 0
7.0,3.2,4.7,1.4 | 1
6.3,3.3,6.0,2.5 | 2

# Ejemplo 2: Más datos para mejor clasificación
4.9,3.0,1.4,0.2 | 0
6.2,2.9,4.3,1.3 | 1
7.1,3.0,5.9,2.1 | 2
5.8,2.7,5.1,1.9 | 2
6.4,2.9,4.3,1.3 | 1
5.0,3.4,1.5,0.2 | 0
